rank,bar,address,neighborhood,avg_km_per_player,proximity_score,space_2board_score,space_confidence,food,tuesday_status,insider_flag,transit8,walk_g,walk_ac,total_score,ownership,in_red_circle,open_status,league_bar_adjacent,phone,space_notes,space_detail,food_detail,tuesday_detail,insider_note,transit,notes,lat,lon,called_on,spoke_to,two_boards_confirmed,tuesday_confirmed,outcome
32,Sharlene's,353 Flatbush Ave,Prospect Heights,4.23,2.5,1,RULED OUT - NO ROOM,UNKNOWN,UNKNOWN,RULED OUT,6/8,0.81,0.73,0.0,INDEPENDENT - opened by a former manager of Commonwealth; single location,IN,OPEN,no,,"RULED OUT BY CJ: no space in this bar for a dartboard. This confirms the read the room shape already pointed to - a long room with the bar down one side and tables down the other leaves only the walkway between them, and a lane needs ~11 ft PERPENDICULAR to a wall, the one dimension a shotgun room does not have. There was no unmentioned alcove.","Long narrow room; bar down one side, tables along the wall; pinball machines; CD jukebox",,,"CJ, 2026-09-18: clearly no space for a dartboard. Ruled out.",Bergen St (2/3) 0.12km; 7th Ave (B/Q) ~0.35km; Atlantic-Barclays 0.53km; A/C 0.73km; G 0.81km,"RULED OUT by CJ on space. Independent dive, strong transit, good location - but a long narrow room is the hardest geometry for darts and no alcove turned up to rescue it.",40.68,-73.974,,,,,"RULED OUT 2026-09-18 - no space for a dartboard; long narrow room, depth runs the wrong way"
33,Captain Dan's Good Time Tavern,497 Greene Ave,Bed-Stuy,3.71,4.4,1,RULED OUT - NO ROOM,UNKNOWN,RULED OUT - TRIVIA HOLDS TUESDAY,RULED OUT,8/8,0.52,0.82,0.0,"INDEPENDENT (likely) - single location, no group found",IN,OPEN,no,,"RULED OUT BY CJ: not enough space to run a lane. That settles the question the published descriptions never could - they were all about seating, never open floor.",Indoor + outdoor seating,,"Trivia at 7:30pm, and CJ's call is that it is a real conflict rather than something to coexist with. Not worth scoping on a trivia night after all.","CJ, 2026-09-18: no space, and Tuesday is already taken by trivia. Not worth going to look.",B44; G Bedford-Nostrand,"RULED OUT by CJ on both screens that matter: no room for a lane, and trivia already holds Tuesday at 7:30pm. Stings on paper - 8/8 transit and third-closest of anything considered at 3.71 km/player - but geography cannot buy a room or a free night.",40.6878,-73.9478,,,,,RULED OUT 2026-09-18 - no room for a lane + trivia holds Tuesday; not worth a visit
34,Chilo's,323 Franklin Ave,Bed-Stuy,3.94,3.6,1,CONFIRMED-TOO-SMALL,YES - KITCHEN,LIKELY OK,RULED OUT,4/8,0.91,0.05,0.0,"INDEPENDENT - majority owner Dave Zirin, sports editor of The Nation; single location",IN,OPEN,no,,"RULED OUT BY CJ: clearly not enough room inside for one board, let alone two. The photo evidence that had this DOUBTED is now decisive - the same kind of read that UPGRADED Bilt Bar, cutting the other way here. The winterized yard does not rescue it.",Backyard with a retractable roof - year-round usable; taco truck,"Tacos, tostadas, tortas; kitchen remodel finished - ""TACOS ARE BACK"" per their own site.",Mon-Thu 5pm-midnight. A 7pm start runs to ~11:30pm - workable but no slack.,"CJ, 2026-09-18: not enough space inside for a single board. Ruled out without a visit.",A/C Franklin,"RULED OUT by CJ on space: too little room inside for even one lane. Open, independent, full kitchen, winterized year-round yard - strong on everything except the one thing that decides it.",40.6812,-73.9565,,,,,RULED OUT 2026-09-18 - not enough interior space for even one board; no visit needed
35,Tip Top Bar & Grill,432 Franklin Ave,Bed-Stuy,3.79,4.1,2,LIKELY-TOO-SMALL,UNKNOWN,CLOSED TUE,,8/8,0.53,0.43,0.0,UNVERIFIED - no group affiliation found,IN,OPEN,no,,"KNOWN: described as feeling 'like someone turned their basement into a bar', which reads small and low-ceilinged. Moot anyway - closed Tuesdays.",'Like someone turned their basement into a bar',Name implies grill; unconfirmed,Operates THURSDAY-SUNDAY only,,G Bedford-Nostrand,HARD DISQUALIFY - shut Tuesdays,40.6848,-73.9569,,,,,
,Lover's Rock,419 Tompkins Ave,Bed-Stuy,3.77,4.2,2,LIKELY-TOO-SMALL,UNKNOWN,UNKNOWN,,0/8,0.88,0.95,DISQUALIFIED,UNVERIFIED - no group affiliation found,IN,CLOSED,no,,"KNOWN: backyard; rum/reggae party bar where crowds spill onto the sidewalk. INFERRED: crowds spilling outside usually means a tight interior. UNKNOWN: actual indoor dimensions - this is an inference, not a fact.","Breezy backyard; rum/reggae party bar, crowds spill onto sidewalk - indoor likely tight",,,,B44/B46 bus,"CLOSED 2025 per the bar's own Instagram. Was a rum-and-reggae bar, opened 2015.",40.6875,-73.9435,,,,,
,Fulton Hall,250 Ashland Pl,Fort Greene,4.15,2.8,4,RULED OUT,YES - KITCHEN,LIKELY OK,RULED OUT,6/8,0.22,0.35,DISQUALIFIED,"SMALL GROUP - Vortex Hospitality, 4 venues (Fulton Hall, Elder Greene, Ida's Nearabout, Brookside Market)",IN,OPEN,no,(718) 673-6740,"RULED OUT BY CJ: no visible playing area in the photos. NOTE - the earlier 'corporate' label was wrong. Vortex Hospitality runs four venues across Brooklyn and Queens, which is the same scale as the Fulton Grand and Cardiff Giant groups. Ownership is NOT a reason to exclude it.","Beer hall: high ceilings, communal tables, pool table, multiple TVs","Hand-crafted pub fare, weekend brunch, full kitchen",Mon-Thu 12pm-12am. A 7pm start runs to ~11:30pm - workable but no slack,CJ: nowhere in the photos to play. Ownership concern withdrawn after verification.,G Fulton St 0.2km; C Lafayette Ave 0.4km; Atlantic-Barclays hub 0.3km,"Ruled out on NO VISIBLE PLAY SPACE, not ownership. Correction: Vortex Hospitality is a 4-venue local group, not a chain - it passes the ownership screen. Had the best station access of any candidate found (G 0.2km, C 0.4km, Atlantic hub 0.3km), so worth a second look if the space question can be answered in person.",40.6866,-73.9779,,,,,
,Dynaco,1112 Bedford Ave,Bed-Stuy,3.71,,,PARTIAL,,,,,,,DISQUALIFIED,UNVERIFIED - no group affiliation found,IN,TEMPORARILY CLOSED,,,KNOWN: had a back room and a fireplace. UNKNOWN: back room size. Moot while temporarily closed - recheck on reopening.,,,,,,"Temporarily closed per CJ 2026-09-18. Had a back room + fireplace, Mon-Fri 5pm-5am. RECHECK - temporary, may reopen.",40.687,-73.9548,,,,,
,Project Parlor,742 Myrtle Ave,Bed-Stuy,3.56,,,UNKNOWN,,,,,,,DISQUALIFIED,UNVERIFIED - no group affiliation found,IN,CLOSED?,,(347) 497-0550,KNOWN: large outdoor yard. UNKNOWN: indoor space. Moot unless it turns out to be open.,,,,,,"Yelp CLOSED Feb 2026 + Foursquare permanently closed, BUT active Instagram. BEST GEOGRAPHIC SCORE FOUND (3.56 = exact optimum). Worth one call.",40.695,-73.952,,,,,
,Kubo (was Swell Dive),1013 Bedford Ave,Bed-Stuy,3.65,,,UNKNOWN,,,RECHECK IF IT REOPENS,,,,DISQUALIFIED,UNVERIFIED - no group affiliation found,IN,"TEMPORARILY CLOSED - per Google, Sept 2026",,,No space information gathered. Not yet assessed.,,,Karaoke reportedly starts at 10pm nightly - a likely conflict with a 7-11:30pm league. Moot while closed.,,,"1013 Bedford Ave has had three states in a year, so treat any status here as perishable. Swell Dive closed Sept 2025. Kubo, a Filipino bar, opened in the space 13 Feb 2026. As of Sept 2026 GOOGLE SHOWS IT TEMPORARILY CLOSED (spotted by CJ). Sources conflict: an Infatuation review from 20 Mar 2026 and Yelp hours from 16 Jun 2026 both show it trading, and there is no closure reporting - but all of that is months stale, and Yelp/Toast block automated checking so neither could be read live. CAUTION: an earlier note here claimed 'open as of Sept 2026'; that was inferred from a Yelp page title reading 'Updated September 2026', which indicates the page was updated, NOT that the business is trading. Do not repeat that inference. Worth rechecking if it reopens - at 3.65 km/player the address beats Fulton Grand on distance. Same handling as Dynaco.",40.689,-73.9558,,,,,ON HOLD 2026-09-18 - Google shows temporarily closed; recheck if it reopens
,The Low Post,1452 Fulton St,Bed-Stuy,4.15,,,UNKNOWN,,,,,,,DISQUALIFIED,UNVERIFIED - no group affiliation found,IN,CLOSED,,,No space information gathered.,,,,,,Yelp CLOSED Dec 2025. Was a sports bar + grill.,40.6798,-73.939,,,,,
,Brooklyn Public House,1048 Bedford Ave,Bed-Stuy,3.7,,,UNKNOWN,,,,,,,DISQUALIFIED,UNVERIFIED - no group affiliation found,IN,CLOSED,,,No space information gathered.,,,,,,Yelp closed.,40.6878,-73.955,,,,,
,Bed-Vyne Brew,370 Tompkins Ave,Bed-Stuy,3.8,,,UNKNOWN,,,,,,,DISQUALIFIED,UNVERIFIED - no group affiliation found,IN,CONFLICTING,,,No space information gathered.,,,,,,"One source says permanently closed, another lists Mon-Fri 4pm-1am. Verify.",40.6878,-73.9435,,,,,
,All Night Skate,54 Rockaway Ave,Ocean Hill,5.23,,,CONFIRMED-GOOD,,,,,,,DISQUALIFIED,UNVERIFIED - no group affiliation found,OUT,OPEN,,,KNOWN: an entire room given over to arcade games plus a second-floor balcony - would comfortably fit two lanes. Irrelevant: outside the circle.,,,,,,HARD NO - ~2km outside circle. Entire arcade room + balcony; would have been ideal for two boards.,40.681,-73.908,,,,,
,Wonderville,1186 Broadway,Bushwick edge,3.91,,,CONFIRMED-GOOD,,,,,,,DISQUALIFIED,UNVERIFIED - no group affiliation found,OUT,OPEN,,,"KNOWN: arcade bar running multiplayer games for up to 16 people, so real floor area. Irrelevant: outside the circle.",,,,,,"HARD NO - outside NE edge. Arcade bar, multiplayer up to 16.",40.696,-73.928,,,,,
,Turtles All the Way Down,236 Malcolm X Blvd,Bed-Stuy,3.89,,,UNKNOWN,,,,,,,DISQUALIFIED,UNVERIFIED - no group affiliation found,OUT,OPEN,,,No space information gathered.,,,,,,HARD NO - Malcolm X Blvd ~0.5km past boundary.,40.6845,-73.9295,,,,,
,Therapy Wine Bar 2.0,260 Malcolm X Blvd,Bed-Stuy,3.9,,,UNKNOWN,,,,,,,DISQUALIFIED,UNVERIFIED - no group affiliation found,OUT,OPEN,,,No space information gathered.,,,,,,HARD NO - outside; also a wine bar.,40.684,-73.9295,,,,,
,Bar Lunatico,486 Halsey St,Bed-Stuy,4.15,,,UNKNOWN,,,,,,,DISQUALIFIED,UNVERIFIED - no group affiliation found,OUT,OPEN,,,No space information gathered.,,,,,,HARD NO - on/just past the line; 'very narrow' with a stage.,40.6835,-73.9345,,,,,
,Hanson Dry,925 Fulton St,Clinton Hill,3.75,,,UNKNOWN,,,ENDORSED,,,,DISQUALIFIED,UNVERIFIED - no group affiliation found,IN,CLOSED,,,Midcentury lounge w/ walnut bar + cozy backyard. Moot if closed.,,,,"Named by commissioner's contact, but listed closed.",,Recommended by commissioner's contact BUT Yelp shows CLOSED (Feb 2026). Verify before dismissing.,40.6845,-73.966,,,,,
,Sound + Fury Brewery and Kitchen,141 Lawrence St,Downtown Brooklyn,4.48,,,RULED OUT,,,RULED OUT,,,,DISQUALIFIED,"INDEPENDENT - single location (formerly Circa Brewing Co, renamed)",IN,OPEN,,,,,,,RULED OUT BY CJ: wrong vibe - we want something divier - and too far.,,"Best raw space found in-boundary: 6,000 sq ft brewery, restaurant and event space, capacity to 300 standing, brick-oven pizza kitchen, 0.5km from Hoyt-Schermerhorn, the only A/C/G interchange in Brooklyn. RULED OUT on vibe and distance. Note on the distance reason: at 4.48 km/player it is further than The Layup (4.35) but CLOSER than the Park Slope league bars Monro Pub (5.02) and Farrell's (5.68), and essentially tied with Union Hall (4.52) - so vibe, not distance, is what separates it from Union Hall.",,,,,,,RULED OUT 2026-09-18 - vibe (want divier) + distance
,Threes Brewing,333 Douglass St,Gowanus,4.47,,,RULED OUT,,,RULED OUT,,,,DISQUALIFIED,"CHAIN - 5 sites: Gowanus, Greenpoint, Governors Island, Huntington, Moynihan store",IN,OPEN,,,,,,,"RULED OUT BY CJ: a big brewing chain, and the same vibe objection as Sound + Fury.",,"Open Tuesday noon-midnight with purpose-built event rooms (Tiny Montgomery 40 seated/75 standing, main bar 120, yard 150) and walking distance for Mark and Olivia. RULED OUT on the not-a-chain screen - five sites is past the 3-4 venue local group the screen allows - plus vibe.",,,,,,,RULED OUT 2026-09-18 - chain (5 sites) + vibe
,Rustik Tavern,471 DeKalb Ave,Clinton Hill / Fort Greene,3.62,,,RULED OUT,,CLOSED TUE,RULED OUT,,,,DISQUALIFIED,"SMALL LOCAL GROUP - 2 sites (471 DeKalb Ave + Brooklyn Navy Yard Bldg 77), since 2008",IN,OPEN,,,,,,Closed Mondays AND Tuesdays - a hard fail on the Tuesday screen regardless of anything else.,"CJ, 2026-09-18: more of a restaurant than a pub - would not want a dartboard on their walls anywhere.",,"RULED OUT on two counts: closed Mondays and Tuesdays, and CJ's read that a comfort-food restaurant would not want a board on the wall. The expensive part is the location - at 3.62 km/player it is the second-closest venue assessed, behind only The Emerson.",,,,,,,RULED OUT 2026-09-18 - closed Tuesdays + a restaurant that would not want a board
,Fourth Avenue Pub,76 4th Ave,Park Slope,4.32,,,RULED OUT,,,RULED OUT,,,,DISQUALIFIED,"SMALL LOCAL GROUP (per project notes, unconfirmed) - possibly with Fulton Grand and Washington Commons",IN,OPEN,,,,,,,"RULED OUT BY CJ: looks fun, but clearly not enough room for a board for us.",,"Costly loss. Best distance of the whole Gowanus/Slope cluster at 4.32 km/player - better than Union Hall, the Crown Inn and The Layup - and the project notes put it in the same ownership team as Fulton Grand (#6), so one intro might have opened both. Craft beer pub since 2007, 27 drafts, spacious back beer garden. RULED OUT on interior room.",,,,,,,RULED OUT 2026-09-18 - no interior room for a board
,High Dive,243 5th Ave,Park Slope,4.84,,,RULED OUT,,,RULED OUT,,,,DISQUALIFIED,INDEPENDENT (likely) - single location,IN,OPEN,,,,,,,RULED OUT: it does not actually have darts.,,"Surfaced on a Yelp ""dart bars in Brooklyn"" list, which is wrong: it has PINBALL and vintage arcade games, not darts. This is the pinball inference that already failed twice on this project (Hartley's, Glorietta Baldy's) - a pinball machine is a wall footprint, not a floor one. Kept here so the Yelp list does not resurface it.",,,,,,,"RULED OUT 2026-09-18 - has pinball/arcade, not darts"
,Littlefield,635 Sackett St,Gowanus,4.90,,,RULED OUT,,,RULED OUT,,,,DISQUALIFIED,SMALL LOCAL GROUP - single venue (sister to Public Records),IN,OPEN,,,,,,,RULED OUT BY CJ: no go.,,"A working music venue with a large room, but it books weeknights. RULED OUT by CJ.",,,,,,,"RULED OUT 2026-09-18 - CJ: no go, music venue"
,The Bell House,149 7th St,Gowanus,5.22,,,RULED OUT,,,RULED OUT,,,,DISQUALIFIED,SMALL LOCAL GROUP - with Union Hall and Floyd (3 venues),IN,OPEN,,,,,,,RULED OUT BY CJ: no go.,,"Large main room, but a working music and comedy venue that books weeknights, and at 5.22 km/player it is further than the old home bar. Same owners as Union Hall (#4). RULED OUT by CJ.",,,,,,,"RULED OUT 2026-09-18 - CJ: no go, music venue"
